Player,Team,Pos,Injury,Status,Est. Return
Santi Aldama,MEM,F,Calf,Game Time Decision,3/19/2025
Grayson Allen,PHX,G,Foot,Out,3/21/2025
Cole Anthony,ORL,G,Toe,Game Time Decision,3/19/2025
Deandre Ayton,POR,C,Calf,Out,3/21/2025
Lonzo Ball,CHI,G,Wrist,Out,3/27/2025
LaMelo Ball,CHA,G,Wrist,Game Time Decision,3/20/2025
RJ Barrett,TOR,F,Illness,Game Time Decision,3/20/2025
Charles Bassey,SAS,C,Knee,Out,3/21/2025
Bradley Beal,PHX,G,Hamstring,Out,3/26/2025
Saddiq Bey,WAS,F,Knee,Out,4/6/2025
Adem Bona,PHI,C,Ankle,Out,3/21/2025
Brandon Boston,NOP,F,Ankle,Out,3/28/2025
Christian Braun,DEN,G,Foot,Game Time Decision,3/19/2025
Miles Bridges,CHA,F,Rest,Game Time Decision,3/20/2025
Malcolm Brogdon,WAS,G,Ankle,Out,3/26/2025
Jaylen Brown,BOS,F,Knee,Game Time Decision,3/21/2025
Jalen Brunson,NYK,G,Ankle,Out,3/28/2025
Kobe Bufkin,ATL,G,Shoulder,Out For Season,10/1/2025
Alec Burks,MIA,G,Back,Game Time Decision,3/19/2025
Toumani Camara,POR,F,Calf,Game Time Decision,3/19/2025
Clint Capela,ATL,C,Personal,Game Time Decision,3/22/2025
Ulrich Chomche,TOR,C,Knee,Out For Season,7/1/2025
Sidy Cissoko,POR,G,Ankle,Game Time Decision,3/19/2025
John Collins,UTA,F,Ankle,Out,4/9/2025
Bilal Coulibaly,WAS,F,Hamstring,Out For Season,10/1/2025
Stephen Curry,GSW,G,Rest,Game Time Decision,3/20/2025
Anthony Davis,DAL,C,Thigh,Out,4/2/2025
Moussa Diabate,CHA,C,Knee,Game Time Decision,3/20/2025
Gradey Dick,TOR,F,Knee,Out,3/24/2025
Ousmane Dieng,OKC,F,Calf,Out,3/21/2025
Luka Doncic,LAL,G,Ankle,Game Time Decision,3/19/2025
Luguentz Dort,OKC,F,Hip,Out,3/21/2025
Ayo Dosunmu,CHI,G,Shoulder,Out For Season,10/1/2025
Andre Drummond,PHI,C,Toe,Out,3/21/2025
Alex Ducas,OKC,G,Back,Game Time Decision,3/19/2025
David Duke,SAS,G,Illness,Out,3/21/2025
Joel Embiid,PHI,C,Knee,Out For Season,10/1/2025
Dante Exum,DAL,G,Hand,Out,10/1/2025
De'Aaron Fox,SAS,G,Finger,Out For Season,10/1/2025
Johnny Furphy,IND,F,Illness,Game Time Decision,3/19/2025
Daniel Gafford,DAL,C,Knee,Out,4/2/2025
Paul George,PHI,F,Groin,Out For Season,10/1/2025
Kyshawn George,WAS,F,Knee,Game Time Decision,3/19/2025
Shai Gilgeous-Alexander,OKC,G,Rest,Out,3/21/2025
Eric Gordon,PHI,G,Wrist,Out For Season,10/1/2025
Aaron Gordon,DEN,F,Calf,Game Time Decision,3/19/2025
Jerami Grant,POR,F,Knee,Game Time Decision,3/19/2025
Rui Hachimura,LAL,F,Knee,Out,3/20/2025
Tyrese Haliburton,IND,G,Back,Game Time Decision,3/19/2025
Jaden Hardy,DAL,G,Ankle,Game Time Decision,3/19/2025
Elijah Harkless,UTA,G,Groin,Game Time Decision,3/19/2025
Isaiah Hartenstein,OKC,C,Back,Game Time Decision,3/19/2025
Taylor Hendricks,UTA,F,Lower Leg,Out For Season,10/1/2025
DaRon Holmes,DEN,C,Achilles,Out For Season,7/2/2025
Ariel Hukporti,NYK,C,Knee,Out,4/6/2025
Brandon Ingram,TOR,F,Ankle,Out,4/1/2025
Kyrie Irving,DAL,G,Knee,Out For Season,2/1/2026
Jaden Ivey,DET,G,Lower Leg,Out,5/1/2025
Isaiah Jackson,IND,C,Achilles,Out For Season,10/1/2025
LeBron James,LAL,F,Groin,Out,3/24/2025
Trey Jemison,LAL,C,Illness,Game Time Decision,3/19/2025
Jalen Johnson,ATL,F,Shoulder,Out For Season,10/1/2025
Nikola Jokic,DEN,C,Elbow,Game Time Decision,3/19/2025
Kai Jones,DAL,C,Quadriceps,Game Time Decision,3/19/2025
Herbert Jones,NOP,F,Shoulder,Out For Season,10/1/2025
Nikola Jovic,MIA,F,Hand,Out,3/27/2025
Corey Kispert,WAS,F,Thumb,Out For Season,10/1/2025
Maxi Kleber,LAL,C,Foot,Out,4/11/2025
Caris LeVert,ATL,G,Knee,Game Time Decision,3/22/2025
Dereck Lively,DAL,C,Ankle,Out,4/2/2025
Kyle Lowry,PHI,G,Hip,Out,3/21/2025
Seth Lundy,LAC,G,Ankle,Out,3/23/2025
Tre Mann,CHA,G,Back,Out For Season,10/1/2025
Lauri Markkanen,UTA,F,Personal,Out,3/21/2025
KJ Martin,UTA,F,Elbow,Out,3/21/2025
Caleb Martin,DAL,F,Hip,Out,3/21/2025
Tyrese Maxey,PHI,G,Back,Out,3/21/2025
Jared McCain,PHI,G,Knee,Out For Season,10/1/2025
Jordan McLaughlin,SAS,G,Achilles,Game Time Decision,3/19/2025
De'Anthony Melton,BKN,G,Knee,Out For Season,10/1/2025
Khris Middleton,WAS,F,Ankle,Out,3/21/2025
Brandon Miller,CHA,F,Wrist,Out For Season,10/1/2025
Jordan Miller,LAC,G,Hamstring,Game Time Decision,3/21/2025
Riley Minix,SAS,F,Shoulder,Out For Season,10/1/2025
Ajay Mitchell,OKC,G,Toe,Out,4/2/2025
Ja Morant,MEM,G,Hamstring,Out,3/21/2025
Trey Murphy,NOP,F,Shoulder,Out For Season,10/1/2025
Dejounte Murray,NOP,G,Achilles,Out For Season,10/1/2025
Jamal Murray,DEN,G,Ankle,Game Time Decision,3/19/2025
Svi Mykhailiuk,UTA,G,Foot,Out,3/21/2025
Larry Nance,ATL,C,Knee,Out,4/1/2025
Josh Okogie,CHA,F,Hamstring,Out,3/21/2025
Kelly Oubre,PHI,F,Knee,Game Time Decision,3/19/2025
Scotty Pippen,MEM,G,Wrist,Game Time Decision,3/19/2025
Mason Plumlee,PHX,C,Quadriceps,Out,3/21/2025
Jakob Poeltl,TOR,C,Rest,Game Time Decision,3/20/2025
Jordan Poole,WAS,G,Elbow,Game Time Decision,3/19/2025
Bobby Portis,MIL,F,Suspension,Out,4/8/2025
Olivier-Maxence Prosper,DAL,F,Wrist,Out For Season,10/1/2025
Zyon Pullin,MEM,G,Knee,Out,3/27/2025
Jared Rhoden,TOR,F,Ankle,Game Time Decision,3/19/2025
Mitchell Robinson,NYK,C,Ankle,Game Time Decision,3/19/2025
Domantas Sabonis,SAC,C,Ankle,Out,3/29/2025
Tidjane Salaun,CHA,F,Ankle,Game Time Decision,3/19/2025
Reed Sheppard,HOU,G,Thumb,Out,4/9/2025
Pascal Siakam,IND,F,Personal,Game Time Decision,3/19/2025
Jericho Sims,MIL,C,Thumb,Out,4/19/2025
Marcus Smart,WAS,G,Illness,Game Time Decision,3/19/2025
Dru Smith,MIA,G,Achilles,Out For Season,10/1/2025
Jaden Springer,UTA,G,Back,Out,3/21/2025
Lamar Stevens,MEM,F,Shoulder,Out,3/21/2025
Julian Strawther,DEN,F,Knee,Out,4/9/2025
Jalen Suggs,ORL,G,Knee,Out For Season,10/1/2025
Jayson Tatum,BOS,F,Knee,Game Time Decision,3/21/2025
Cam Thomas,BKN,G,Hamstring,Out For Season,10/1/2025
Amen Thompson,HOU,G,Ankle,Out,3/21/2025
Nikola Topic,OKC,G,Knee,Out For Season,7/1/2025
Moritz Wagner,ORL,C,Knee,Out For Season,10/1/2025
Jabari Walker,POR,F,Concussion,Out,3/21/2025
Lonnie Walker,PHI,G,Concussion,Out,3/21/2025
Jarace Walker,IND,F,Ankle,Game Time Decision,3/19/2025
Keaton Wallace,ATL,G,Shoulder,Game Time Decision,3/19/2025
Cason Wallace,OKC,G,Shoulder,Game Time Decision,3/19/2025
Ja'Kobe Walter,TOR,G,Hip,Game Time Decision,3/20/2025
Victor Wembanyama,SAS,C,Shoulder,Out For Season,10/1/2025
Andrew Wiggins,MIA,F,Lower Leg,Game Time Decision,3/19/2025
Jalen Williams,OKC,F,Hip,Out,3/21/2025
Grant Williams,CHA,F,Knee,Out For Season,10/1/2025
Brandon Williams,DAL,G,Hamstring,Game Time Decision,3/19/2025
Robert Williams,POR,C,Knee,Out,3/21/2025
Guerschon Yabusele,PHI,F,Knee,Game Time Decision,3/19/2025